#Saved Data from the class counter_logic on 18.06.2019 at 17h24m34s.
#
#Parameters:
#===========
#
#Start counting time: 18.06.2019 17h:24min:21s
#Stop counting time: 18.06.2019 17h:24min:33s
#Count frequency (Hz): 50
#Oversampling (Samples): 1
#Smooth Window Length (# of events): 10
#
#Data:
#=====
#Time (s)	Signal0 (counts/s)
1.999831199645996e-02	1.475350000000000e+06
3.999590873718262e-02	1.480850000000000e+06
5.999636650085449e-02	1.492900000000000e+06
7.999539375305176e-02	1.479400000000000e+06
9.999370574951172e-02	1.468350000000000e+06
1.199927330017090e-01	1.489050000000000e+06
1.399915218353271e-01	1.478150000000000e+06
1.599907875061035e-01	1.479000000000000e+06
1.799986362457275e-01	1.476450000000000e+06
1.999883651733398e-01	1.472250000000000e+06
2.199852466583252e-01	1.486450000000000e+06
2.399866580963135e-01	1.470950000000000e+06
2.599821090698242e-01	1.466450000000000e+06
2.799808979034424e-01	1.475950000000000e+06
2.999815940856934e-01	1.475500000000000e+06
3.199815750122070e-01	1.478550000000000e+06
3.399856090545654e-01	1.470000000000000e+06
3.599636554718018e-01	1.480450000000000e+06
3.799753189086914e-01	1.470300000000000e+06
3.999741077423096e-01	1.470700000000000e+06
4.199733734130859e-01	1.470400000000000e+06
4.399883747100830e-01	1.469750000000000e+06
4.599738121032715e-01	1.473950000000000e+06
4.799978733062744e-01	1.474150000000000e+06
5.000205039978027e-01	1.478300000000000e+06
5.200214385986328e-01	1.465550000000000e+06
5.400104522705078e-01	1.479600000000000e+06
5.600092411041260e-01	1.487200000000000e+06
5.799989700317383e-01	1.482200000000000e+06
6.000006198883057e-01	1.474000000000000e+06
6.200182437896729e-01	1.485700000000000e+06
6.400079727172852e-01	1.488700000000000e+06
6.600162982940674e-01	1.479650000000000e+06
6.800081729888916e-01	1.490400000000000e+06
7.000079154968262e-01	1.482700000000000e+06
7.200086116790771e-01	1.460350000000000e+06
7.400081157684326e-01	1.481850000000000e+06
7.599840164184570e-01	1.460200000000000e+06
7.799825668334961e-01	1.482850000000000e+06
7.999815940856934e-01	1.491550000000000e+06
8.199815750122070e-01	1.472050000000000e+06
8.400039672851562e-01	1.506200000000000e+06
8.599832057952881e-01	1.480200000000000e+06
8.799929618835449e-01	1.497750000000000e+06
8.999793529510498e-01	1.495200000000000e+06
9.199903011322021e-01	1.475350000000000e+06
9.399895668029785e-01	1.501450000000000e+06
9.600031375885010e-01	1.478250000000000e+06
9.799873828887939e-01	1.484550000000000e+06
9.999856948852539e-01	1.474700000000000e+06
1.019984245300293e+00	1.481300000000000e+06
1.039983749389648e+00	1.494650000000000e+06
1.059980154037476e+00	1.474850000000000e+06
1.079978227615356e+00	1.494650000000000e+06
1.099980354309082e+00	1.495300000000000e+06
1.119979381561279e+00	1.478850000000000e+06
1.139977455139160e+00	1.474800000000000e+06
1.159978151321411e+00	1.482000000000000e+06
1.179972171783447e+00	1.471900000000000e+06
1.199971437454224e+00	1.465350000000000e+06
1.219970226287842e+00	1.496900000000000e+06
1.239969015121460e+00	1.474250000000000e+06
1.259988307952881e+00	1.477850000000000e+06
1.279973268508911e+00	1.475000000000000e+06
1.299969434738159e+00	1.491850000000000e+06
1.319967746734619e+00	1.483600000000000e+06
1.339966297149658e+00	1.475900000000000e+06
1.359966278076172e+00	1.474950000000000e+06
1.379964590072632e+00	1.494000000000000e+06
1.399963617324829e+00	1.482500000000000e+06
1.419984817504883e+00	1.489800000000000e+06
1.439987421035767e+00	1.484450000000000e+06
1.459996938705444e+00	1.492050000000000e+06
1.479985237121582e+00	1.484250000000000e+06
1.499982118606567e+00	1.484700000000000e+06
1.519996881484985e+00	1.479900000000000e+06
1.539985895156860e+00	1.480750000000000e+06
1.559985876083374e+00	1.471050000000000e+06
1.579977273941040e+00	1.481200000000000e+06
1.599976778030396e+00	1.490500000000000e+06
1.619975805282593e+00	1.479850000000000e+06
1.639974117279053e+00	1.484250000000000e+06
1.659975767135620e+00	1.473900000000000e+06
1.679971933364868e+00	1.480200000000000e+06
1.699970722198486e+00	1.480550000000000e+06
1.719970226287842e+00	1.480000000000000e+06
1.739974975585938e+00	1.479450000000000e+06
1.759969949722290e+00	1.471750000000000e+06
1.779970169067383e+00	1.488950000000000e+06
1.799971103668213e+00	1.479000000000000e+06
1.819970130920410e+00	1.462750000000000e+06
1.839970588684082e+00	1.468950000000000e+06
1.859972715377808e+00	1.484300000000000e+06
1.879970073699951e+00	1.475150000000000e+06
1.899969816207886e+00	1.482000000000000e+06
1.919958591461182e+00	1.488350000000000e+06
1.939958333969116e+00	1.490850000000000e+06
1.959958791732788e+00	1.494850000000000e+06
1.979959011077881e+00	1.481100000000000e+06
1.999958992004395e+00	1.484100000000000e+06
